Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",79.29,1.09,+1.39%,79.56,78.58,1303100,05/03/19
AAL,"American Airlines Gp",34.79,0.84,+2.47%,34.9,34.15,5181500,05/03/19
AAP,"Advance Auto Parts Inc",163.27,-3.51,-2.10%,167.39,163.19,760100,05/03/19
AAPL,"Apple Inc",211.75,2.6,+1.24%,211.84,210.23,20892299,05/03/19
ABBV,"Abbvie Inc",78.71,0.24,+0.31%,78.8,78.25,4527300,05/03/19
ABC,"Amerisourcebergen Corp",79.14,2.08,+2.70%,79.59,77.64,2090500,05/03/19
ABMD,"Abiomed Inc",271.75,6.98,+2.64%,273.35,265.5,1075900,05/03/19
ABT,"Abbott Laboratories",78.69,-0.09,-0.11%,79.13,78.26,5452700,05/03/19
ACN,"Accenture Plc",176.98,-2.41,-1.34%,177.96,176.52,2680100,05/03/19
ADBE,"Adobe Systems Inc",285.58,5.94,+2.12%,286.35,282.39,1979900,05/03/19
ADI,"Analog Devices",116.95,-0.01,-0.01%,117.96,115.93,2476200,05/03/19
ADM,"Archer Daniels Midland Company",43.67,0.13,+0.30%,43.76,43.06,3140100,05/03/19
ADP,"Automatic Data Procs",160.19,1.77,+1.12%,160.63,158.51,1431500,05/03/19
ADS,"Alliance Data Systems Corp",156.56,1.94,+1.25%,156.9,154.87,445000,05/03/19
ADSK,"Autodesk Inc",176.7,3.34,+1.93%,176.88,174.06,959600,05/03/19
AEE,"Ameren Corp",72.95,0.61,+0.84%,73.08,72.46,687800,05/03/19
AEP,"American Electric Power Company",85.43,0.73,+0.86%,85.51,84.63,1323200,05/03/19
AES,"The Aes Corp",16.93,-0.12,-0.70%,17.25,16.93,7534300,05/03/19
AFL,"Aflac Incorporated",50.49,0.24,+0.48%,50.69,50.26,2249600,05/03/19
AGN,"Allergan Plc",145.81,1.56,+1.08%,146.46,143.59,1534500,05/03/19
AIG,"American International Group",47.11,0.31,+0.66%,47.37,46.74,6361300,05/03/19
AIV,"Apartment Investment and Management",50.05,0.99,+2.02%,50.1,48.98,1996900,05/03/19
AIZ,"Assurant Inc",94.58,0.16,+0.17%,95,93.94,330500,05/03/19
AJG,"Arthur J. Gallagher & CO",83.13,0.24,+0.29%,83.46,82.48,586200,05/03/19
AKAM,"Akamai Technologies",80.03,-0.24,-0.30%,80.88,79.47,1029900,05/03/19
ALB,"Albemarle Corp",77.05,0.96,+1.26%,77.4,76.31,1515700,05/03/19
ALGN,"Align Technology I",331.08,5.2,+1.60%,333.17,327.27,885600,05/03/19
ALK,"Alaska Air Group",62.48,0.14,+0.22%,63.26,62.35,702500,05/03/19
ALL,"Allstate Corp",98.58,0.29,+0.30%,99,97.14,2028500,05/03/19
ALLE,"Allegion Plc",102.19,3.27,+3.31%,102.39,99.61,675200,05/03/19
ALXN,"Alexion Pharm Inc",136.69,3.56,+2.67%,136.83,133.46,1042100,05/03/19
AMAT,"Applied Materials",43.96,0.26,+0.59%,44.15,43.61,7375600,05/03/19
AMD,"Adv Micro Devices",28.22,-0.07,-0.25%,28.42,27.66,55503000,05/03/19
AME,"Amtek Inc",87.35,0.33,+0.38%,87.72,87.1,1048700,05/03/19
AMG,"Affiliated Managers Group",110.82,2.83,+2.62%,111.11,107.82,488600,05/03/19
AMGN,"Amgen Inc",177.31,0.81,+0.46%,177.77,176.47,2944400,05/03/19
AMP,"Ameriprise Financial Services",147.85,0.48,+0.33%,149.24,146.95,701600,05/03/19
AMT,"American Tower Corp",192.95,0.15,+0.08%,194.53,192.27,1059100,05/03/19
AMZN,"Amazon.com Inc",1962.46,61.64,+3.24%,1964.4,1936,6381500,05/03/19
ANET,"Arista Networks Inc",278.41,-32.44,-10.44%,278.44,251,5828600,05/03/19
ANSS,"Ansys Inc",192.49,1.11,+0.58%,197.05,191.65,683000,05/03/19
ANTM,"Anthem Inc",261.7,0.11,+0.04%,263.34,257.14,1231600,05/03/19
AON,"AON Plc",178.75,2.27,+1.29%,179.37,177.02,866700,05/03/19
AOS,"Smith [A.O.] Corp",53.64,1.12,+2.13%,53.72,52.77,775500,05/03/19
APA,"Apache Corp",30.59,0.81,+2.72%,31.22,29.98,4709500,05/03/19
APC,"Anadarko Petroleum Corp",72.72,1.18,+1.65%,73,71.91,11040100,05/03/19
APD,"Air Products and Chemicals",209.58,1.93,+0.93%,209.86,207.09,1268000,05/03/19
APH,"Amphenol Corp",100.01,0.87,+0.88%,100.28,99.59,1138300,05/03/19
APTV,"Aptiv Plc",80.18,0.4,+0.50%,80.65,78.82,1471300,05/03/19
ARE,"Alexandria Real Estate Equities",142.3,1.38,+0.98%,143.04,140.63,532500,05/03/19
ARNC,"Arconic Inc",22.41,0.5,+2.28%,22.44,21.77,4554700,05/03/19
ATO,"Atmos Energy Corp",102.94,0.86,+0.84%,103.13,101.81,459100,05/03/19
ATVI,"Activision Blizzard",47.15,-2.4,-4.84%,48.67,46.16,25671000,05/03/19
AVB,"Avalonbay Communities",202.16,0.72,+0.36%,202.34,200.05,317200,05/03/19
AVGO,"Broadcom Ltd",315.71,-0.11,-0.03%,316.65,310.69,1921300,05/03/19
AVY,"Avery Dennison Corp",111.42,1.81,+1.65%,111.57,110.18,292200,05/03/19
AWK,"American Water Works",107.38,0.7,+0.66%,107.59,106.48,609800,05/03/19
AXP,"American Express Company",119.35,2.1,+1.79%,119.65,117.63,2856100,05/03/19
AZO,Autozone,1033.38,-4.93,-0.47%,1048.94,1026.01,253800,05/03/19
BA,"Boeing Company",376.46,0.66,+0.18%,377.9,374.22,2953800,05/03/19
BAC,"Bank of America Corp",30.71,0.21,+0.69%,30.8,30.5,35256000,05/03/19
BAX,"Baxter International Inc",77.3,1.01,+1.32%,77.57,76.63,2539200,05/03/19
BBT,"BB&T Corp",50.97,0.43,+0.85%,51.12,50.63,3775700,05/03/19
BBY,"Best Buy CO",75.03,-0.15,-0.20%,75.53,74.58,2031000,05/03/19
BDX,"Becton Dickinson and Company",237.89,1.22,+0.52%,238.1,235.91,925300,05/03/19
BEN,"Franklin Resources",34.65,0.34,+0.99%,34.74,34.12,2253900,05/03/19
BF.B,"Brown Forman Inc Cl B",53,1.02,+1.96%,53.5,52.37,702300,05/03/19
BHGE,"Baker Hughes A Ge Co. Cl A",24.13,0.61,+2.59%,24.28,23.76,4917100,05/03/19
BIIB,"Biogen Inc",231.18,0.66,+0.29%,234.11,230.55,2382300,05/03/19
BK,"Bank of New York Mellon Corp",49.97,0.14,+0.28%,50.28,49.8,4360900,05/03/19
BKNG,"Booking Holdings Inc",1824.07,16.07,+0.89%,1829.96,1814.25,496000,05/03/19
BLK,Blackrock,482.5,6.09,+1.28%,482.9,476.41,403200,05/03/19
BLL,"Ball Corp",61.54,1.54,+2.57%,61.76,60.09,2416400,05/03/19
BMY,"Bristol-Myers Squibb Company",48.62,1.74,+3.71%,48.8,47.27,24355100,05/03/19
BR,"Broadridge Financial Solutions Llc",117.77,0.77,+0.66%,117.93,117.08,685100,05/03/19
BRK.B,"Berkshire Hath Hld Cl B",218.6,2.67,+1.24%,219.16,216.87,3382500,05/03/19
BSX,"Boston Scientific Corp",37.2,0.31,+0.84%,37.3,36.84,7869300,05/03/19
BWA,"Borgwarner Inc",41.29,0.45,+1.10%,41.37,40.74,789700,05/03/19
BXP,"Boston Properties",134.73,-0.51,-0.38%,136.1,134.24,713300,05/03/19
C,"Citigroup Inc",70.67,0.31,+0.44%,70.98,70,11486600,05/03/19
CAG,"Conagra Brands Inc",30.01,0.06,+0.20%,30.18,29.82,2142800,05/03/19
CAH,"Cardinal Health",49.56,0.82,+1.68%,49.89,48.81,3512100,05/03/19
CAT,"Caterpillar Inc",139.06,3.89,+2.88%,139.2,135.8,4154800,05/03/19
CB,"Chubb Ltd",145.05,0.72,+0.50%,145.76,143.97,1196900,05/03/19
CBOE,"CBOE Global Markets Inc",100.98,1.08,+1.08%,102.32,100.46,708000,05/03/19
CBRE,"CBRE Group Inc",51.81,0.38,+0.74%,51.89,51.49,963900,05/03/19
CBS,"CBS Corp",49.73,-0.69,-1.37%,50.81,48.92,3983400,05/03/19
CCI,"Crown Castle International Corp",124.79,0.76,+0.61%,125.22,124.19,772300,05/03/19
CCL,"Carnival Corp",55.18,0.85,+1.56%,55.3,54.21,3826900,05/03/19
CDNS,"Cadence Design Sys",70.27,0.82,+1.18%,70.49,68.75,2233900,05/03/19
CE,"Celanese Corp",108.77,2.56,+2.41%,108.95,106.75,1335300,05/03/19
CELG,"Celgene Corp",96.88,1.67,+1.75%,97.07,95.42,6036600,05/03/19
CERN,"Cerner Corp",68.47,0.46,+0.68%,69.34,68.13,2167800,05/03/19
CF,"Cf Industries Holdings",44.22,0.76,+1.75%,44.33,43.26,1467400,05/03/19
CFG,"Citizens Financial Group Inc/Ri",36.8,0.55,+1.52%,36.89,36.33,4094700,05/03/19
CHD,"Church & Dwight Company",74.34,-0.32,-0.43%,74.48,73.4,928800,05/03/19
CHRW,"C.H. Robinson Ww",83.9,0.48,+0.58%,84.97,83.16,1673500,05/03/19
CHTR,"Charter Communicatio",377.68,7.27,+1.96%,377.93,369.61,917100,05/03/19
CI,"Cigna Corp",152.83,-5.39,-3.41%,158.74,149.81,5762400,05/03/19
CINF,"Cincinnati Financial",96.07,0.12,+0.13%,96.37,95.33,474500,05/03/19
CL,"Colgate-Palmolive Company",71.95,0.13,+0.18%,72.06,71.58,2436700,05/03/19
CLX,"Clorox Company",148.18,-0.56,-0.38%,148.98,147.5,1169600,05/03/19
CMA,"Comerica Inc",78.14,-0.05,-0.06%,78.9,78.03,1506300,05/03/19
CMCSA,"Comcast Corp A",43.29,0.64,+1.50%,43.51,42.74,12751000,05/03/19
CME,"CME Group Inc",173.91,1.11,+0.64%,174.3,172.31,1872600,05/03/19
CMG,"Chipotle Mexican Grill",709.52,1.65,+0.23%,710.93,703.42,436300,05/03/19
CMI,"Cummins Inc",169.19,3.02,+1.82%,169.28,166.18,1296600,05/03/19
CMS,"Cms Energy Corp",55.26,0.68,+1.25%,55.38,54.57,1459300,05/03/19
CNC,"Centene Corp",52.59,0.97,+1.88%,52.83,50.72,9997800,05/03/19
CNP,"Centerpoint Energy Inc",31.15,0.4,+1.30%,31.16,30.81,2679300,05/03/19
COF,"Capital One Financial Corp",94.26,1.34,+1.44%,94.3,93.12,1694400,05/03/19
COG,"Cabot Oil & Gas Corp",25.37,0.26,+1.04%,25.63,25.07,5706000,05/03/19
COO,"Cooper Companies",293.91,3.1,+1.07%,294.58,290.54,266500,05/03/19
COP,Conocophillips,62.01,0.72,+1.17%,62.88,61.51,6883800,05/03/19
COST,"Costco Wholesale",244.62,1.93,+0.80%,244.88,242.72,905800,05/03/19
COTY,"Coty Inc",11.48,0.64,+5.90%,12.72,10.89,40882402,05/03/19
CPB,"Campbell Soup Company",38.27,0.36,+0.95%,38.33,37.65,1134400,05/03/19
CPRI,"Capri Holdings Ltd",44.07,0.42,+0.96%,44.24,43.34,1417300,05/03/19
CPRT,"Copart Inc",67.11,0.37,+0.55%,67.23,66.75,801800,05/03/19
CRM,"Salesforce.com Inc",163.34,1.51,+0.93%,163.5,160.86,3131400,05/03/19
CSCO,"Cisco Systems Inc",54.94,0,0.00%,54.99,54.18,26887100,05/03/19
CSX,"CSX Corp",80.52,1.61,+2.04%,80.73,79.13,2464000,05/03/19
CTAS,"Cintas Corp",222.93,3.15,+1.43%,223.14,218.42,456400,05/03/19
CTL,Centurylink,11.68,0.26,+2.28%,11.72,11.43,7848000,05/03/19
CTSH,"Cognizant Tech Sol",59.25,-7.36,-11.05%,61.5,57.7,40551000,05/03/19
CTXS,"Citrix Systems Inc",99.15,-0.1,-0.10%,99.89,98.66,1248700,05/03/19
CVS,"CVS Corp",56.66,-0.07,-0.12%,57.34,56.03,11035500,05/03/19
CVX,"Chevron Corp",117.27,0.89,+0.76%,118.54,117.11,7365200,05/03/19
CXO,"Concho Resources Inc",109.49,4.63,+4.42%,110.63,105.74,2595800,05/03/19
D,"Dominion Resources",76.79,-0.19,-0.25%,77.03,75.59,3126300,05/03/19
DAL,"Delta Air Lines Inc",57.8,0.14,+0.24%,58.13,57.52,4673000,05/03/19
DE,"Deere & Company",166.91,2.79,+1.70%,167.23,164.45,1050800,05/03/19
DFS,"Discover Financial Services",82.27,1.13,+1.39%,82.45,81.48,1569500,05/03/19
DG,"Dollar General Corp",124.7,0.07,+0.06%,125.59,124.55,938600,05/03/19
DGX,"Quest Diagnostics Inc",98.79,0.63,+0.64%,99.09,97.87,1018900,05/03/19
DHI,"D.R. Horton",44.13,-0.25,-0.56%,44.79,44.08,3625600,05/03/19
DHR,"Danaher Corp",134.58,1.07,+0.80%,134.67,133.22,2315000,05/03/19
DIS,"Walt Disney Company",134.33,0.19,+0.14%,135.31,133.78,8874400,05/03/19
DISCA,"Discovery Comm A",29.34,0.08,+0.27%,29.71,29.03,5192700,05/03/19
DISCK,"Discovery Comm Inc",27.77,0.12,+0.43%,28.06,27.39,2585000,05/03/19
DISH,"Dish Network Corp",35.08,1.48,+4.40%,35.69,33.25,4159200,05/03/19
DLR,"Digital Realty Trust",120.7,1.9,+1.60%,121.01,119.17,1192300,05/03/19
DLTR,"Dollar Tree Inc",108.82,-0.63,-0.58%,110.18,108.36,1529600,05/03/19
DOV,"Dover Corp",99.37,1.49,+1.52%,99.46,98.34,974200,05/03/19
DOW,"Dow Inc.",53.3,0.6,+1.14%,53.35,51.72,7401800,05/03/19
