Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",12.6,0.51,+4.22%,12.63,12.05,574300,05/03/19
AAON,"Aaon Inc",51.81,2.29,+4.62%,52.5,49.31,153000,05/03/19
AAT,"American Assets Trust",46.22,0.1,+0.22%,46.41,45.79,148000,05/03/19
AAWW,"Atlas Air Ww",46.85,0.94,+2.05%,47.03,44.95,494300,05/03/19
AAXN,"Axon Inc",65.3,1.04,+1.62%,66.11,64.42,734200,05/03/19
ABCB,"Ameris Bancorp",37.58,0.83,+2.26%,37.63,36.85,236300,05/03/19
ABG,"Asbury Automotive Group Inc",80.45,1.38,+1.75%,80.57,79.12,81500,05/03/19
ABM,"ABM Industries Incorporated",38.36,0.94,+2.51%,38.39,37.6,191800,05/03/19
ACA,"Arcosa Inc",37.43,7.14,+23.57%,38.65,32.5,1383200,05/03/19
ACLS,"Axcelis Tech Inc",21.96,0.69,+3.24%,21.96,21.33,154700,05/03/19
ACOR,"Acorda Therapeutics",11.74,1.16,+10.96%,11.76,10.43,1453900,05/03/19
ADC,"Agree Realty Corp",66.35,0.35,+0.53%,66.54,65.74,347600,05/03/19
ADTN,"Adtran Inc",17.18,0.01,+0.06%,17.29,16.86,292100,05/03/19
ADUS,"Addus Homecare Corpo",66.76,-0.86,-1.27%,67.95,66.12,218100,05/03/19
AEGN,"Aegion Corp",17.23,0.52,+3.11%,17.32,16.62,297000,05/03/19
AEIS,"Advanced Energy",58.93,1.57,+2.74%,58.99,57.21,289100,05/03/19
AEL,"American Equity Investment Life",30.31,1.19,+4.09%,30.48,29.31,474400,05/03/19
AGYS,"Agilysys Inc",19.35,0.42,+2.22%,19.4,18.92,85700,05/03/19
AHH,"Armada Hoffler Properties Inc",16.03,0.62,+4.02%,16.12,15.53,185400,05/03/19
AIN,"Albany International Corp",79.86,1.81,+2.32%,79.99,78.42,260800,05/03/19
AIR,"AAR Corp",33.78,0.98,+2.99%,33.79,32.77,153800,05/03/19
AIT,"Applied Industrial Technologies",60.31,1.48,+2.52%,60.35,59.32,147600,05/03/19
AJRD,"Aerojet Rocketdyne Holdings",37.1,0.67,+1.84%,37.1,36.42,578300,05/03/19
AKR,"Acadia Realty Trust",28.89,0.18,+0.63%,28.92,28.61,602100,05/03/19
AKRX,"Akorn Inc",2.85,0.14,+5.17%,2.87,2.7,1374300,05/03/19
AKS,"AK Steel Holding Corp",2.55,0.23,+9.91%,2.56,2.34,11728000,05/03/19
ALG,"Alamo Group",105.04,1.55,+1.50%,105.46,103.52,59900,05/03/19
ALGT,"Allegiant Travel Com",147.26,0.73,+0.50%,148.8,146.83,159600,05/03/19
ALRM,Alarm.com,71,0.87,+1.24%,71.4,70.18,294000,05/03/19
AMAG,"Amag Pharmaceuticals",11.57,0.34,+3.03%,11.59,11.17,545100,05/03/19
AMBC,"Ambac Financial Grp",19.09,0.5,+2.69%,19.22,18.7,216700,05/03/19
AMN,"Amn Healthcare Services Inc",52.5,1.05,+2.04%,54.24,52.09,967900,05/03/19
AMPH,"Amphastar Pharma",22.35,0.43,+1.96%,22.38,21.92,141500,05/03/19
AMSF,"Amerisafe Inc",60.7,0.87,+1.45%,61,59.88,51800,05/03/19
AMWD,"Amer Woodmark Cp",92.58,3.71,+4.17%,92.64,88.75,183200,05/03/19
ANDE,"Andersons Inc",32.68,0.9,+2.83%,32.71,31.85,88800,05/03/19
ANF,"Abercrombie & Fitch Company",30.48,0.66,+2.21%,30.63,29.93,1891700,05/03/19
ANGO,"Angiodynamics Inc",20.72,0.3,+1.47%,20.99,20.53,122600,05/03/19
ANIK,"Anika Therapeutics",39.22,5.26,+15.49%,40.4,34.5,512900,05/03/19
ANIP,"ANI Pharma Inc",71.43,0.82,+1.16%,72.45,70.57,82500,05/03/19
APEI,"American Pub. Edu.",32.98,0.6,+1.85%,33.13,32.26,110100,05/03/19
APOG,"Apogee Entrpr Inc",40.89,0.77,+1.92%,40.97,40.16,218100,05/03/19
ARCB,"Arcbest Corp",30.2,-0.29,-0.95%,30.89,28.34,666400,05/03/19
ARI,"Apollo Commercial Real Estate",19.05,0.1,+0.53%,19.19,18.98,1262800,05/03/19
ARLO,"Arlo Technologies Inc",4.08,0.05,+1.24%,4.2,4,1172200,05/03/19
AROC,"Archrock Inc",9.87,0.21,+2.17%,9.94,9.51,928500,05/03/19
ARR,"Armour Residential R",19.09,0.12,+0.63%,19.15,18.98,507400,05/03/19
ASIX,"Advansix Inc",33.37,3.38,+11.27%,33.62,30.1,264500,05/03/19
ASNA,"Ascena Retail Grp",1.3,0.07,+5.69%,1.34,1.23,3067100,05/03/19
ASRT,"Assertio Therapeutics Inc",4.71,0.32,+7.29%,4.78,4.35,825300,05/03/19
ASTE,"Astec Inds Inc",34.27,0.92,+2.76%,34.92,33.47,230900,05/03/19
ATNI,"Atn International",62.05,2.3,+3.85%,62.06,60.02,25100,05/03/19
ATU,"Actuant Corp",25.82,0.62,+2.46%,25.94,25.41,124400,05/03/19
AVA,"Avista Corp",43.57,1,+2.35%,43.6,42.6,405200,05/03/19
AVAV,"Aerovironment Inc",68.96,1.52,+2.25%,69.26,67.52,204800,05/03/19
AVD,"American Vanguard Corp",16.17,0.52,+3.32%,16.32,15.79,78900,05/03/19
AVP,"Avon Products",2.86,0.04,+1.42%,2.88,2.8,4328900,05/03/19
AWR,"American States Water Company",71.48,1.34,+1.91%,71.7,70.16,128400,05/03/19
AX,"Axos Financial Inc",31.27,0.4,+1.30%,31.77,30.91,297500,05/03/19
AXE,"Anixter International Inc",63.91,2.5,+4.07%,63.92,61.62,193300,05/03/19
AXL,"American Axle & Manufacturing",13.61,-0.74,-5.16%,14.29,13.4,3811000,05/03/19
AZZ,"Azz Inc",48.22,1.08,+2.29%,48.29,47.45,158800,05/03/19
B,"Barnes Group",57.83,1.23,+2.17%,58.19,56.82,256900,05/03/19
BABY,"Natus Medical Inc",27.54,0.47,+1.74%,27.67,27.06,195400,05/03/19
BANC,"First Pactrust Bancorp",14.84,0.4,+2.77%,14.93,14.51,292500,05/03/19
BANR,"Banner Corp",54.86,1.09,+2.03%,54.88,53.77,147800,05/03/19
BCC,"Boise Cascade L.L.C.",29.02,1.04,+3.72%,29.07,28.07,450700,05/03/19
BCEI,"Bonanza Creek Energy Inc",23.5,0.65,+2.84%,23.56,22.84,107800,05/03/19
BCOR,"Blucora Inc",35.85,0.91,+2.60%,35.94,34.67,161600,05/03/19
BCPC,"Balchem Cp",102.75,3.36,+3.38%,103.71,97.98,159800,05/03/19
BEAT,"Biotelemetry Inc",53.65,1.02,+1.94%,54.11,52.62,326900,05/03/19
BELFB,"Bel Fuse Inc Cl B",23.03,0.98,+4.44%,23.03,22.35,15100,05/03/19
BFS,"Saul Centers",55.71,2.26,+4.23%,56.26,53.07,102800,05/03/19
BGG,"Briggs & Stratton Corp",12.54,0.51,+4.24%,12.61,12.08,388000,05/03/19
BGS,"B&G Foods Holdings",22.72,-2.23,-8.94%,23.55,22.26,4760900,05/03/19
BHE,"Benchmark Electronics",27.19,0.59,+2.22%,27.24,26.5,278900,05/03/19
BHLB,"Berkshire Hills Bancorp",30.42,0.41,+1.37%,30.57,29.94,494100,05/03/19
BIG,"Big Lots",37.56,0.54,+1.46%,37.75,36.96,989300,05/03/19
BJRI,"Bj's Restaurants Inc",52.83,0.73,+1.40%,53,51.03,862300,05/03/19
BKE,"Buckle Inc",18.97,0.41,+2.21%,19.01,18.66,392200,05/03/19
BKS,"Barnes & Noble",5.1,0.33,+6.92%,5.16,4.8,1675500,05/03/19
BLD,"Topbuild Corp",74.32,1.77,+2.44%,74.52,72.35,343600,05/03/19
BMI,"Badger Meter",55.44,0.18,+0.33%,56.21,55.4,108500,05/03/19
BNED,"Barnes & Noble Education Inc C",4.27,0.16,+3.89%,4.29,4.08,432800,05/03/19
BOOM,"Dynamic Materials",68.81,0.55,+0.81%,70.78,68.33,312600,05/03/19
BOOT,"Boot Barn Holdings Inc",30.94,1.08,+3.62%,30.94,29.9,443100,05/03/19
BPFH,"Boston Pvt Finl Hldg",12.03,0.44,+3.80%,12.06,11.6,620200,05/03/19
BRC,"Brady Corp",49.89,1.38,+2.84%,49.99,48.83,194600,05/03/19
BRKL,"Brookline Bancorp",15.89,0.36,+2.32%,15.95,15.62,235300,05/03/19
BRKS,"Brooks Automation",39.08,1.23,+3.25%,39.13,37.5,619700,05/03/19
CAL,"Caleres Inc",26.81,0.83,+3.19%,26.9,26,674800,05/03/19
CALM,"Cal-Maine Foods IN",42.42,0.75,+1.80%,42.43,41.59,205400,05/03/19
CAMP,"Calamp Corp",14,0.18,+1.30%,14.11,13.81,271900,05/03/19
CASH,"Meta Financial Grp",26.03,0.72,+2.84%,26.07,25.28,156700,05/03/19
CATM,"Cardtronics Inc",34.92,-0.49,-1.38%,36.1,31.04,828500,05/03/19
CATO,"Cato Corp",15.33,0.48,+3.23%,15.41,14.86,250000,05/03/19
CBB,"Cincinnati Bell Inc",9.19,0.38,+4.31%,9.3,8.83,313400,05/03/19
CBL,"Cbl & Associates Properties",1.24,0.15,+13.76%,1.34,1.09,4768400,05/03/19
CBM,"Cambrex Corp",46.2,2.73,+6.28%,46.28,42.75,399700,05/03/19
CBU,"Community Bank System",67.26,1.39,+2.11%,67.44,66.06,196000,05/03/19
CCMP,"Cabot Microelectron",125.95,2.95,+2.40%,126.09,123.42,188200,05/03/19
CCOI,"Cogent Comm Hldgs",56.49,1.55,+2.82%,56.53,53.91,283700,05/03/19
CCRN,"Cross Ctry Hlthcr",7.56,0.18,+2.44%,7.59,7.34,457000,05/03/19
CCS,"Century Communities Inc",28.22,2.87,+11.32%,28.76,27,1887600,05/03/19
CDR,"Cedar Shopping Centers Inc",3.25,0.1,+3.17%,3.27,3.11,247900,05/03/19
CECO,"Career Education",18.26,0.03,+0.16%,18.43,18.11,692300,05/03/19
CEIX,"Consol Energy Inc",32.92,1.1,+3.46%,33.2,32.07,285700,05/03/19
CENT,"Central Garden",27.57,0.34,+1.25%,27.91,27.31,149300,05/03/19
CENTA,"Central Garden & Pet",25.34,0.78,+3.18%,25.48,24.67,397800,05/03/19
CENX,"Century Aluminum C",8.37,0.44,+5.55%,8.52,8,1693800,05/03/19
CEVA,"Ceva Inc",25.3,0.31,+1.24%,25.51,24.63,464300,05/03/19
CHCO,"City Holding CO",81.24,2.11,+2.67%,81.26,79.38,59100,05/03/19
CHCT,"Community Healthcare Trust Inc",37.08,0.48,+1.31%,37.44,36.67,83600,05/03/19
CHEF,"The Chefs Warehouse",34.05,0.8,+2.41%,34.79,33.2,171800,05/03/19
CHS,"Chico's Fas",3.54,0.08,+2.31%,3.63,3.47,2064000,05/03/19
CHSP,"Chesapeake Lodging Trust",29.31,0.49,+1.70%,29.33,28.86,209800,05/03/19
CHUY,"Chuy's Holdings Inc",20.92,0.48,+2.35%,21,20.45,80000,05/03/19
CIR,"Circor International",34.26,0.47,+1.39%,34.89,34,145700,05/03/19
CJ,"C&J Energy Services Inc",14.11,0.49,+3.60%,14.15,13.66,557200,05/03/19
CKH,"Seacor Smit Inc",45.91,1.55,+3.49%,46.28,44.72,50100,05/03/19
CLDT,"Chatham Lodging Trust [Reit]",20.38,0.23,+1.14%,20.66,20.25,291800,05/03/19
CLW,"Clearwater Paper Corp",18.04,0.03,+0.17%,18.15,17.75,476300,05/03/19
CMO,"Capstead Mortgage Corp",8.64,0.05,+0.58%,8.71,8.59,485400,05/03/19
CMTL,"Comtech Telecom CO",24.31,0.51,+2.14%,24.36,23.37,100900,05/03/19
CNMD,"C O N M E D Cp",82.5,1.44,+1.78%,82.63,81.08,240500,05/03/19
CNSL,"Consolidated Communications Holdings Inc",5.11,0.25,+5.14%,5.19,4.87,1803900,05/03/19
COHU,"Cohu Inc",15.42,0.63,+4.26%,15.45,14.82,574600,05/03/19
COKE,"Coca Cola Bot Cons",333.9,5.4,+1.64%,336.71,327.72,73500,05/03/19
COLB,"Columbia Banking Sys",38.04,0.9,+2.42%,38.1,37.23,243600,05/03/19
CONN,"Conn's Inc",25.78,0.28,+1.10%,25.99,25.45,183500,05/03/19
CORE,"Core Mark Holding",36.58,0.57,+1.58%,36.74,36.09,307600,05/03/19
CORT,"Corcept Therapeutics",12.63,0.36,+2.93%,12.72,12.33,789000,05/03/19
CPF,"Central Pacific Financial CO",30.34,0.55,+1.85%,30.37,29.84,91000,05/03/19
CPS,"Cooper Std Hldg Inc",53.98,-0.04,-0.07%,54.15,52.22,268100,05/03/19
CPSI,"Computer Programs",26.84,-3.21,-10.68%,28.61,26.68,351000,05/03/19
CRAY,"Cray Inc",26.47,0.19,+0.72%,26.6,26.19,134000,05/03/19
CRCM,"Care.com Inc",16.4,0.22,+1.36%,16.44,16.14,436200,05/03/19
CROX,"Crocs Inc",29.18,0.99,+3.51%,29.29,28.04,1072500,05/03/19
CRVL,"Corvel Cp",72.79,1.7,+2.39%,72.86,70.96,38300,05/03/19
CRY,Cryolife,31.42,-0.08,-0.25%,31.8,31.02,266000,05/03/19
CRZO,"Carrizo Oil & Gas",11.5,0.35,+3.14%,11.57,11.07,2912000,05/03/19
CSGS,"C S G Sys Intl",46.29,-1.65,-3.44%,47.75,45.94,307600,05/03/19
CSII,"Cardiovascular Syst",39.49,1.98,+5.28%,39.53,37.5,448100,05/03/19
CTB,"Cooper Tire & Rubber Company",30.73,0.83,+2.78%,30.77,30.13,390500,05/03/19
CTRE,"Caretrust REIT Inc",24.61,0.33,+1.36%,24.69,24.26,669600,05/03/19
CTRL,"Control4 Corp",18.16,0.48,+2.71%,18.44,17.9,201100,05/03/19
CTS,"Cts Corp",30.29,0.48,+1.61%,30.36,29.99,80600,05/03/19
CUB,"Cubic Corp",59.68,2.96,+5.22%,61.53,58.15,493400,05/03/19
CUBI,"Customers Bancorp",23.01,0.33,+1.46%,23.02,22.59,111600,05/03/19
CUTR,"Cutera Inc",19.18,0.74,+4.01%,19.2,18.47,98700,05/03/19
CVBF,"Cvb Financial Corp",22.19,0.49,+2.26%,22.21,21.62,865200,05/03/19
CVCO,"Cavco Inds Inc",125.44,0.01,+0.01%,127.56,125.01,82000,05/03/19
CVGW,"Calavo Growers Inc",96.25,1.39,+1.47%,97.1,94.82,86800,05/03/19
CWT,"California Water Service Group Holding",50.36,0.64,+1.29%,50.56,49.54,243100,05/03/19
CYH,"Community Health Systems",3.37,0.19,+5.97%,3.41,3.19,1186100,05/03/19
CYTK,Cytokinetics,8.85,0.4,+4.73%,8.85,8.39,478700,05/03/19
DAKT,"Daktronics Inc",7.6,0.17,+2.29%,7.67,7.44,72900,05/03/19
DAR,"Darling International Inc",21.17,0,0.00%,21.34,20.85,878600,05/03/19
DBD,"Diebold Nixdorf Inc",10.94,1.41,+14.80%,11.01,9.8,3173700,05/03/19
DBI,"Designer Brands Inc.",23.24,0.49,+2.15%,23.39,22.95,1075600,05/03/19
DCOM,"Dime Community Bncsh",20.21,0.42,+2.12%,20.23,19.61,166700,05/03/19
DDD,"3D Systems Corp",11.15,0.47,+4.40%,11.25,10.68,1559600,05/03/19
